sebastyen,3
security,1
seguridad,1
server,5
service,3
share,21
shares,18
shark,7
shell,7
shh,3
shit,2
shoutcast,22
silvius,31
sim,12
simonyisz,5
simple,2
simulation,2
simulator,1
sisap,2
site,2
sk,23
sm0k3y,3
smart,2
smmsp,4
smtp,4
sniff,1
soporte,8
source,1
spam,1
squid,7
squirrelmail,3
squirrelmailrootootirrelmail,1
srvr1027,87
sshd,8
statd,33
stefanitsm,45
steve,2
student,38
student1,1
students,15
sunos,1
super,4
superuser,3
support,89
support1,1
sveta,1
svn,7
svnuser,4
sync,11
syncro,2
sys,18
sysadmin,7
sysop,2
system,6
szamlazo,8
t,132859
takacsakos,21
taller,1
teamspeak,25
teamspeak3,1
teca,9
tech,4
telnetd,3
temp,9
terriffic,1
test,345
Test,23
test1,15
test2,31
teste,38
tester,10
testing,7
testuser,16
teszt,2
Teszt,1
tetranet,1
texaco,1
thlow,1
thomas,1
tiborc,12
ticket,2
tickets,1
tienda,5
tiendaonline,1
tiendas,1
timea,22
tivadar,9
tmp,197
tomcat,9
tomcat7,1
toor,24
toplebensstil,1
torok,5
torrent,2
torrentflux,1
toto,1
trabajador,2
trabajadores,1
trabajo,1
trade,1
training,1
trash,2
ts3,18
ts3erver,4
ts3szerver,9
ttf,3
tty,1
tunde,7
u,1165
ubnt,124
ubuntu,33
ubuntu1,1
ucpss,10
undernet,1
unix,4
upload,39
uploader,35
upnt,1
url,1
user,275
user01,4
user05,1
user1,2
user2,1
userftp,24
username,10
usuario,5
usuarios,1
uucp,3
v,351
valentina,1
ventas,7
ventas1,1
ventas2,1
vnc,3
vtav,35
vyatta,69
waf,2
wang,2
web,62
webadmin,6
webalizer,4
weblogic,1
webmaster,23
webtest,4
wepa,1
whoopsie,51
winegar,1
wineman,1
winer,2
winerman,1
winett,1
winfield,1
winford,1
winfred,1
winfrey,1
winfried,1
winful,1
wing,2
wingaard,1
word,3
www,40
www1,3
www-data,25
x,161
xbian,30
xbmc,29
xfs,3
xmap,1
xrdp,18
XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1
y,366
yclee,2
yildiz,4
z,317
zabbix,5
zapateria,1
zapato,1
zhangyan,1
zita,10
zoltan,3
zoltan2,1
zsigmond,13
zsigmond01,2
zsigmond02,2
zsigmond1,2
zsigmond2,2
zsofia,38
zsofia001,1
zsofia01,1
zsofia02,1
zsofia1,1
zsofia2,1
zsolt,12
zsolt001,1
zsolt01,1
zxin10,1
